Name, Description,Headquarter,Industries,Website,LinkedIn
Flat6Labs,Flat6Labs is Sawari Ventures’ dedicated startup accelerator for seed stage investments.,"Gîza, Al Jizah, Egypt","Apps, Finance, Software, Training, Venture Capital",www.flat6labs.com,http://www.linkedin.com/company/flat6labs
Spring Accelerator ,A pioneering accelerator that supports businesses and services whose products & service can transform the lives of adolescent girls,"Nairobi, Nairobi Area, Kenya",,www.springaccelerator.org/,https://www.linkedin.com/company/spring-accelerator
88mph,88mph invests in early-stage web and mobile companies in the African market.,"Nairobi, Nairobi Area, Kenya","Financial Services, Mobile, Web Browsers",www.88mph.ac,https://in.linkedin.com/company/88mph-ac
AUC Venture Lab,AUC Venture Lab is the American University in Cairo’s startup accelerator/incubator.,"Cairo, Al Qahirah, Egypt",American University in Cairo,schools.aucegypt.edu/business/aucvlab/Pages/def...,https://www.linkedin.com/in/auc-venture-lab-650168101/
Startupbootcamp Cape Town,"Startupbootcamp Cape Town is a leading accelerator focused on scouting for startups in blockchain, connected devices.","Cape Town, NA - South Africa, South Africa","Blockchain, Cryptocurrency, Financial Services, Information Technology, Internet",None,None
1864 Accelerator,The 1864 Accelerator constitutes the first local financial technology focused (FinTech) startup accelerator program.,"Gîza, Al Jizah, Egypt",FinTech,www.1864accelerator.com/,None
Techqala,Techqala is nine day program to start-ups to develop their mentorship.,"Cape Town, NA - South Africa, South Africa",Active,www.techqala.com/,https://www.linkedin.com/in/carriebedingfield
Seed Engine,Seed Engine aims to coach and mentor entrepreneurs into becoming leaders and efficiently and successfully operate their ventures.,"Johannesburg, NA - South Africa, South Africa","Finance, Social Entrepreneurship, Venture Capital",www.seedengine.co.za,http://www.linkedin.com/company/seed-engine
Velociti ZW,An accelerator that helps startups attain escape velocity,"Bulawayo, NA - Zimbabwe, Zimbabwe","Advice, Banking, Incubators",www.velociti.co.zw/,https://www.linkedin.com/company/velociti-accelerator
Aurik Business Accelerator,"A growth business accelerator with over 1,672 SMB's across all sectors of the Sub-Saharan African economy","Johannesburg, NA - South Africa, South Africa",,www.aurik.biz/,https://www.linkedin.com/company/aurik-investment-holdings-pty-limited
Antler,Antler is a startup generator & early-stage VC that enables the world’s most determined people to build global businesses from the ground up,"Singapore, Central Region, Singapore","Financial Services, Venture Capital",antler.co/,https://www.linkedin.com/company/antleri/
Brinc,Brinc is a venture capital and accelerator firm that empowers game changers to help solve some of the world's biggest challenges.,"Central, Hong Kong Island, Hong Kong","Clean Energy, E-Commerce, Food and Beverage, Home Health Care, Manufacturing, Nutrition, Robotics, Software, Technical Support, Transportation",www.brinc.io,https://www.linkedin.com/company/brinc-io
SparkLabs Accelerator,SparkLabs Accelerator is a Korean business accelerator providing investment solutions and mentoring for startups.,"Seoul, Seoul-t'ukpyolsi, South Korea","Automotive, Enterprise Software, Incubators",www.sparklabs.co.kr,https://www.linkedin.com/company/3297677/
Zeroth.AI,Zeroth is an accelerator for early-stage start-ups in artificial intelligence & machine learning companies in Asia.,"Hong Kong, Hong Kong Island, Hong Kong","Artificial Intelligence, Intelligent Systems, Machine Learning, Software, Venture Capital",www.zeroth.ai/,https://www.linkedin.com/company/10841747
Primer,Startup Accelerator in Korea from Jan 2010,"Seoul, Seoul-t'ukpyolsi, South Korea","Facilities Support Services, Social Entrepreneurship, Venture Capital",None,https://www.linkedin.com/company/primerclub
Oasis500,"Oasis500 is the leading seed investment company and business accelerator in the Tech and Creative Industry spaces based in Amman, Jordan.","Amman, Amman, Jordan","Incubators, Information and Communications Technology (ICT)",www.oasis500.com,http://www.linkedin.com/company/oasis500
Chinaccelerator,"Chinaccelerator is a Shanghai-based startup accelerator that provides seed funding, mentorship, and legal assistance to software companies.","Shanghai, Shanghai, China","E-Commerce, Internet, Mobile, Software",chinaccelerator.com,http://www.linkedin.com/company/chinaccelerator
HAX,HAX is a full stack accelerator for hardware startups.,"Shenzhen, Guangdong, China","Hardware, Manufacturing, Venture Capital",www.hax.co,https://www.linkedin.com/company/hax
Tribe Accelerator,The First Singapore Government-Supported Blockchain Accelerator,"Singapore, Central Region, Singapore","Automotive, Blockchain, Information Technology, InsurTech, Logistics, Supply Chain Management, Sustainability",None,https://www.linkedin.com/company/tribe-accelerator
Neoply,NEOPLY is a startup accelerator based in South Korea.,"Bundangdong, Kyonggi-do, South Korea","Angel Investment, Blockchain, Consulting, Finance, Incubators, Information Technology, Internet, Venture Capital",None,None
AppWorks,"Based in Taiwan, AppWorks is the largest startup accelerator in Greater Southeast Asia and one of the region's most active early-stage VCs.","Taipei, T'ai-pei, Taiwan","Angel Investment, Incubators, Venture Capital",None,http://www.linkedin.com/company/appworks-ventures
CoWrks Foundry,"The CoWrks Foundry is a tech startup accelerator housed within CoWrks, that is focused on empowering startups to build resilient businesses.","Bangalore, Karnataka, India","Communities, Information Technology",None,https://www.linkedin.com/company/the-cowrks-foundry/
1337 Ventures,1337 is a technology accelerator and early stage venture capital focused on doing pre-seed and seed stage investments in Malaysia.,"Kuala Lumpur, Kuala Lumpur, Malaysia","Banking, Financial Services, Venture Capital",None,https://www.linkedin.com/company/1337-ventures-sdn-bhd-?trk=company_logo
India Accelerator ,India Accelerator runs mentorship-driven acceleration programs for start ups.,"Gurgaon, Haryana, India","Communities, Coworking, Incubators",None,https://www.linkedin.com/company/india-accelerator/
SuperCharger,"SuperCharger is the FinTech Accelerator in Asia, dedicated to both early-stage startups and scale-up FinTech companies aiming for growth.","Wan Chai, Hong Kong Island, Hong Kong","Finance, Financial Services, FinTech, Venture Capital",None,https://www.linkedin.com/company/supercharger-ltd?trk=top_nav_home
