create_Date,last_update,Price,sales,app_name,Created_by
03-Dec-18, 2 Dec 18,$12,3,A-Cab Taxi - Android Studio UI Kit,Divinetechs
18-Sep-18, 10 Feb 19,$28,5,Deco UI Kit - Multi-purpose Starter Android App Template - Android Studio Firebase,decoui
03-Nov-17, 2 Nov 17,$49,4,Utility for WhatsApp - Junk Cleaner/Story Saver/Back Up,TechX1406
03-Aug-17, 28 Dec 18,$27,182,Matta - Material Design Android UI Template / Theme App,CreativeForm
29-Jun-17, 11 Feb 18,$14,42,Android Starter Template,InnowityStudio
30-Sep-16, 4 Dec 18,$49,15,Bronze UI KIT,rushabhpatel381
23-Aug-16, 24 Aug 16,$12,0,File Chooser,OlDenWeb
21-Jun-15, 20 Jun 15,$15,22,Android Dialer Template,kenzap
14-Oct-14, 14 Oct 14,$14,64,Emoji Keyboard for Android,kenzap
02-May-14, 4 Apr 17,$24,21,Android Components Template,vishalbodkhe
10-Sep-12, 13 Apr 13,$6,35,Android App Custom Font Loader,sixeightzero
27-Jan-12, 27 Jan 12,$7,12,Page Indicator for ViewPager,pizzigo
22-Nov-10, 22 Nov 10,$9,3,Text Styles Pack #2 for Android,Mamlambo
22-Nov-10, 22 Nov 10,$9,3,Text Styles Pack for Android,Mamlambo
22-Nov-10, 22 Nov 10,$18,4,Animation Sequences for Android,Mamlambo
